label,uri
load-control+xml,https://www.iana.org/assignments/media-types/application/load-control+xml
lost+xml,https://www.iana.org/assignments/media-types/application/lost+xml
lostsync+xml,https://www.iana.org/assignments/media-types/application/lostsync+xml
lpf+zip,https://www.iana.org/assignments/media-types/application/lpf+zip
LXF,https://www.iana.org/assignments/media-types/application/LXF
mac-binhex40,https://www.iana.org/assignments/media-types/application/mac-binhex40
macwriteii,https://www.iana.org/assignments/media-types/application/macwriteii
mads+xml,https://www.iana.org/assignments/media-types/application/mads+xml
marc,https://www.iana.org/assignments/media-types/application/marc
marcxml+xml,https://www.iana.org/assignments/media-types/application/marcxml+xml
mathematica,https://www.iana.org/assignments/media-types/application/mathematica
mathml+xml,https://www.iana.org/assignments/media-types/application/mathml+xml
mathml-content+xml,https://www.iana.org/assignments/media-types/application/mathml-content+xml
mathml-presentation+xml,https://www.iana.org/assignments/media-types/application/mathml-presentation+xml
mbms-associated-procedure-description+xml,https://www.iana.org/assignments/media-types/application/mbms-associated-procedure-description+xml
mbms-deregister+xml,https://www.iana.org/assignments/media-types/application/mbms-deregister+xml
mbms-envelope+xml,https://www.iana.org/assignments/media-types/application/mbms-envelope+xml
mbms-msk-response+xml,https://www.iana.org/assignments/media-types/application/mbms-msk-response+xml
mbms-msk+xml,https://www.iana.org/assignments/media-types/application/mbms-msk+xml
mbms-protection-description+xml,https://www.iana.org/assignments/media-types/application/mbms-protection-description+xml
mbms-reception-report+xml,https://www.iana.org/assignments/media-types/application/mbms-reception-report+xml
mbms-register-response+xml,https://www.iana.org/assignments/media-types/application/mbms-register-response+xml
mbms-register+xml,https://www.iana.org/assignments/media-types/application/mbms-register+xml
mbms-schedule+xml,https://www.iana.org/assignments/media-types/application/mbms-schedule+xml
mbms-user-service-description+xml,https://www.iana.org/assignments/media-types/application/mbms-user-service-description+xml
mbox,https://www.iana.org/assignments/media-types/application/mbox
media_control+xml,https://www.iana.org/assignments/media-types/application/media_control+xml
media-policy-dataset+xml,https://www.iana.org/assignments/media-types/application/media-policy-dataset+xml
mediaservercontrol+xml,https://www.iana.org/assignments/media-types/application/mediaservercontrol+xml
merge-patch+json,https://www.iana.org/assignments/media-types/application/merge-patch+json
metalink4+xml,https://www.iana.org/assignments/media-types/application/metalink4+xml
mets+xml,https://www.iana.org/assignments/media-types/application/mets+xml
MF4,https://www.iana.org/assignments/media-types/application/MF4
mikey,https://www.iana.org/assignments/media-types/application/mikey
mipc,https://www.iana.org/assignments/media-types/application/mipc
mmt-aei+xml,https://www.iana.org/assignments/media-types/application/mmt-aei+xml
mmt-usd+xml,https://www.iana.org/assignments/media-types/application/mmt-usd+xml
mods+xml,https://www.iana.org/assignments/media-types/application/mods+xml
moss-keys,https://www.iana.org/assignments/media-types/application/moss-keys
moss-signature,https://www.iana.org/assignments/media-types/application/moss-signature
mosskey-data,https://www.iana.org/assignments/media-types/application/mosskey-data
mosskey-request,https://www.iana.org/assignments/media-types/application/mosskey-request
mp21,https://www.iana.org/assignments/media-types/application/mp21
mp4,https://www.iana.org/assignments/media-types/application/mp4
mpeg4-generic,https://www.iana.org/assignments/media-types/application/mpeg4-generic
mpeg4-iod,https://www.iana.org/assignments/media-types/application/mpeg4-iod
mpeg4-iod-xmt,https://www.iana.org/assignments/media-types/application/mpeg4-iod-xmt
mrb-consumer+xml,https://www.iana.org/assignments/media-types/application/mrb-consumer+xml
mrb-publish+xml,https://www.iana.org/assignments/media-types/application/mrb-publish+xml
msc-ivr+xml,https://www.iana.org/assignments/media-types/application/msc-ivr+xml
msc-mixer+xml,https://www.iana.org/assignments/media-types/application/msc-mixer+xml
msword,https://www.iana.org/assignments/media-types/application/msword
mud+json,https://www.iana.org/assignments/media-types/application/mud+json
multipart-core,https://www.iana.org/assignments/media-types/application/multipart-core
mxf,https://www.iana.org/assignments/media-types/application/mxf
n-quads,https://www.iana.org/assignments/media-types/application/n-quads
n-triples,https://www.iana.org/assignments/media-types/application/n-triples
nasdata,https://www.iana.org/assignments/media-types/application/nasdata
news-checkgroups,https://www.iana.org/assignments/media-types/application/news-checkgroups
news-groupinfo,https://www.iana.org/assignments/media-types/application/news-groupinfo
news-transmission,https://www.iana.org/assignments/media-types/application/news-transmission
nlsml+xml,https://www.iana.org/assignments/media-types/application/nlsml+xml
node,https://www.iana.org/assignments/media-types/application/node
nss,https://www.iana.org/assignments/media-types/application/nss
ocsp-request,https://www.iana.org/assignments/media-types/application/ocsp-request
ocsp-response,https://www.iana.org/assignments/media-types/application/ocsp-response
octet-stream,https://www.iana.org/assignments/media-types/application/octet-stream
ODA,https://www.iana.org/assignments/media-types/application/ODA
odm+xml,https://www.iana.org/assignments/media-types/application/odm+xml
ODX,https://www.iana.org/assignments/media-types/application/ODX
oebps-package+xml,https://www.iana.org/assignments/media-types/application/oebps-package+xml
